tile_id,tile_dir,role,structure,profile_name,num_input_channels,expected_input_channels,input_channels,has_model_input,has_s2_stack,has_indices,has_rgb,has_qc,has_valid_mask,has_dem,has_soil,has_ground_truth,valid_pixel_fraction,nan_fraction,width,height,status,excluded_reason
18,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 18,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.765625,0.234375,256,221,valid,
19,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 19,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,1.0,0.0,257,221,valid,
20,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 20,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,1.0,0.0,257,221,valid,
21,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 21,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,1.0,0.0,257,221,valid,
22,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 22,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,1.0,0.0,257,221,valid,
23,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 23,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.7042801556420234,0.2957198443579766,257,221,valid,
24,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 24,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.013920454545454545,0.9860795454545455,256,220,valid,
25,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 25,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.01818181818181818,0.9818181818181818,257,220,valid,
26,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 26,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.01818181818181818,0.9818181818181818,257,220,valid,
27,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 27,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.01818181818181818,0.9818181818181818,257,220,valid,
28,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 28,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.01818181818181818,0.9818181818181818,257,220,valid,
29,C:\Uni\Terra-AID\Data\Datasets\Tanis\Dataset\tile 29,evaluation,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,True,False,0.012805093738945878,0.9871949062610541,257,220,valid,
